role,skills
ICT auditor manager,"information structure, train employees, implement ICT risk management, ICT project management, ensure adherence to organisational ICT standards, quality standards, use markup languages, prepare financial auditing reports, build business relationships, organisational resilience, audit techniques, information confidentiality, develop ICT workflow, control objectives for information and related technology, manage standard enterprise resource planning system, perform contract compliance audits, cyber security, execute ICT audits, ensure information privacy, PHP, identify legal requirements, coach employees, monitor technology trends, systems development life-cycle, AJAX, develop information security strategy, develop ICT test suite, manage IT security compliances, legal requirements of ICT products, attack vectors, ICT security legislation, ICT quality policy, ensure compliance with legal requirements, ICT security standards, ICT process quality models, manage changes in ICT system, implement corporate governance, cloud technologies, implement ICT security policies, web programming, develop audit plan, JavaScript"
ICT business analysis manager,"define technology strategy, provide ICT consulting advice, perform business analysis, define technical requirements, analyse business requirements, data mining, manage ICT project, communicate with customers, execute analytical mathematical calculations, business process modelling, make strategic business decisions, design process, implement strategic planning, adapt to changing situations, information extraction, improve business processes, apply change management, decision support systems, propose ICT solutions to business problems, ICT market, systems development life-cycle, business strategy concepts, identify processes for re-engineering, use different communication channels, track key performance indicators, ICT security legislation, coordinate technological activities, provide cost benefit analysis reports, provide training on technological business developments, visual presentation techniques, digital communication and collaboration, create business process models, perform data mining, write work-related reports, business processes"
ICT business analyst,"business intelligence, business ICT systems, digital systems, business requirements techniques, innovation processes, define technical requirements, product usage risks analysis, organisational resilience, analyse business requirements, execute analytical mathematical calculations, manage ICT project, business process modelling, identify customer requirements, implement strategic planning, interact with users to gather requirements, design process, unstructured data, identify legal requirements, information extraction, internal risk management policy, apply change management, decision support systems, propose ICT solutions to business problems, ICT market, translate requirements into visual design, information architecture, systems development life-cycle, business strategy concepts, provide user documentation, legal requirements of ICT products, provide cost benefit analysis reports, visual presentation techniques, analyse business processes, create business process models, cloud technologies, information categorisation, analyse the context of an organisation"
ICT business development manager,"seek innovation in current practices, business intelligence, investment analysis, business ICT systems, innovate in ICT, innovation processes, business requirements techniques, perform business analysis, build business relationships, sales argumentation, interpret current data, analyse business requirements, outsourcing strategy, communicate with customers, business process modelling, ICT capacity planning strategies, information extraction, collect customer feedback on applications, monitor technology trends, decision support systems, ICT market, business strategy concepts, insourcing strategy, give live presentation, use different communication channels, manage contracts, coordinate technological activities, crowdsourcing strategy, visual presentation techniques, perform market research, business processes, identify new business opportunities"
ICT buyer,"hardware platforms, business ICT systems, perform project management, manage logistics, use e-procurement, business requirements techniques, compare contractors' bids, coordinate purchasing activities, maintain relationship with suppliers, software components suppliers, maintain relationship with customers, product comprehension, maintain contract administration, adhere to organisational guidelines, issue purchase orders, negotiate buying conditions, prepare purchasing reportings, manufacturer's recommended price, identify ICT user needs, analyse supply chain strategies, electronic communication, software components libraries, procurement legislation, perform procurement processes, track price trends, ICT market, hardware components suppliers, identify suppliers, manage contracts, hardware components, carry out statistical forecasts, supply chain management, contract law, emergent technologies, carry out tendering"
ICT capacity planner,"LDAP, MDX, query languages, perform project management, apply company policies, provide ICT consulting advice, ensure adherence to organisational ICT standards, SPARQL, perform business analysis, design database scheme, LINQ, implement a virtual private network, outsourcing strategy, analyse business requirements, ICT infrastructure, business process modelling, labour legislation, deploy ICT systems, design process, perform ICT troubleshooting, execute ICT audits, ICT capacity planning strategies, use scripting programming, XQuery, create solutions to problems, statistical analysis system software, collect customer feedback on applications, develop financial statistics reports, improve business processes, create database diagrams, provide user documentation, systems development life-cycle, forecast workload, resource description framework query language, plan ICT capacity, insourcing strategy, administer ICT system, use different communication channels, coordinate technological activities, provide cost benefit analysis reports, crowdsourcing strategy, carry out statistical forecasts, ICT security standards, ICT process quality models, perform resource planning, cloud technologies, N1QL, plan migration to cloud"
ICT change and configuration manager,"train employees, perform project management, digital systems, Puppet (tools for software configuration management), manage ICT virtualisation environments, Apache Maven, computer programming, embedded systems, build business relationships, STAF, control objectives for information and related technology, deploy ICT systems, Salt (tools for software configuration management), perform software unit testing, Vagrant, design cloud architecture, develop automated migration methods, use scripting programming, Codenvy, integrated development environment software, perform software recovery testing, utilise computer-aided software engineering tools, DevOps, administer ICT system, manage software releases, Octopus Deploy, integrate system components, tools for software configuration management, Chef (tools for software configuration management), ICT process quality models, manage changes in ICT system, apply operations for an ITIL-based environment, project configuration management, ICT project management methodologies, Jenkins (tools for software configuration management), migrate existing data"
ICT consultant,"provide ICT consulting advice, game theory, define technical requirements, lean project management, monitor system performance, maintain relationship with customers, solve ICT system problems, verify formal ICT specifications, manage ICT project, manage standard enterprise resource planning system, optimise choice of ICT solution, Process-based management, manage ICT change request process, identify ICT user needs, analyse ICT system, identify customer requirements, interact with users to gather requirements, identify technological needs, software components libraries, provide user documentation, analyse software specifications, keep up with the latest information systems solutions, systems development life-cycle, legal requirements of ICT products, manage contracts, create project specifications, hardware components, keep task records, ICT system integration, ICT sales methodologies, visual presentation techniques, use e-services, ICT process quality models, emergent technologies, manage changes in ICT system, ICT project management methodologies, copyright legislation, Agile project management"
ICT disaster recovery analyst,"maintain plan for continuity of operations, manage system security, apply company policies, mobile operating systems, ICT performance analysis methods, ICT power consumption, Android (mobile operating systems), ICT problem management techniques, product usage risks analysis, software anomalies, build business relationships, manage disaster recovery plans, organisational resilience, develop strategy to solve problems, system backup best practice, ICT communications protocols, implement a virtual private network, ICT infrastructure, BlackBerry, optimise choice of ICT solution, perform backups, cyber security, identify ICT security risks, implement ICT recovery system, iOS, ICT debugging tools, information security strategy, ICT network security risks, unstructured data, manage staff, hardware architectures, internal risk management policy, cyber attack counter-measures, define security policies, report analysis results, develop information security strategy, network management system tools, manage IT security compliances, give live presentation, conduct impact evaluation of ICT processes on business, ICT recovery techniques, protect ICT devices, ICT process quality models, respond to incidents in cloud, levels of software testing"
ICT documentation manager,"define technology strategy, content development processes, ICT project management, supplier management, develop information standards, manage content development projects, manage content metadata, maintain relationship with suppliers, identify market requirements for ICT documentation, outsourcing strategy, manage human resources, identify ICT user needs, manage budgets, develop media strategy, usability engineering, identify legal requirements, plan digital marketing, apply organisational techniques, apply change management, monitor technology trends, systems development life-cycle, insourcing strategy, document management, legal requirements of ICT products, manage information sources, track key performance indicators, crowdsourcing strategy, quality assurance methodologies, ensure compliance with legal requirements, provide guidelines for content development, perform resource planning, manage localisation, disseminate internal communications, industrial software, ICT help platforms, business processes, set quality assurance objectives"
ICT environmental manager,"conduct environmental surveys, train employees, perform ICT security testing, protect the environment from the impact of the digital technologies, cost management, ensure compliance with company regulations, waste management, ensure compliance with waste legislative regulations, ICT power consumption, maintain internal communication systems, embedded systems, develop ICT workflow, outsourcing strategy, manage ICT project, ICT infrastructure, carry out environmental audits, design computer network, manage budgets, environmental management standards, report on environmental issues, resource-efficient technologies, coach employees, perform procurement processes, analyse environmental data, promote environmental awareness, ICT market, systems development life-cycle, network management system tools, insourcing strategy, give live presentation, environmental management monitors, coordinate technological activities, provide cost benefit analysis reports, crowdsourcing strategy, ensure compliance with legal requirements, green computing, emergent technologies, hardware materials, develop environmental policy, product life-cycle"
ICT help desk agent,"provide customer follow-up services, keep up to date on product knowledge, guarantee customer satisfaction, assist customers, solve ICT system problems, information confidentiality, answer incoming calls, implement a virtual private network, communicate with customers, ICT infrastructure, perform escalation procedure, use customer relationship management software, support ICT system users, handle helpdesk problems, perform data analysis, use ICT hardware, implement anti-virus software, create solutions to problems, use ICT ticketing system, characteristics of products, educate on data confidentiality, knowledge base, manage schedule of tasks, ICT system user requirements, provide ICT support, identify customer's needs, keep task records, characteristics of services, use e-services, ICT help platforms, prioritise requests, product comprehension"
ICT help desk manager,"provide customer follow-up services, train employees, perform project management, call quality assurance management, keep up to date on product knowledge, supervise data entry, secure sensitive customer's information, communicate with customers, analyse staff capacity, use customer relationship management software, use ICT hardware, manage staff, create solutions to problems, coach employees, use ICT ticketing system, characteristics of products, educate on data confidentiality, ICT market, manage schedule of tasks, forecast workload, provide ICT support, ICT quality policy, organisational structure, characteristics of services, ICT process quality models, ICT help platforms, prioritise requests, product comprehension"
ICT information and knowledge manager,"define technology strategy, manage cloud data and storage, business intelligence, information structure, implement data warehousing techniques, manage data collection systems, migrate existing data, structure information, information confidentiality, interpret current data, data mining, create data models, assess ICT knowledge, assess informational needs, interact with users to gather requirements, ensure information privacy, unstructured data, information security strategy, information extraction, online analytical processing, design information system, decision support systems, manage ICT data architecture, information architecture, keep up with the latest information systems solutions, use databases, utilise decision support system, data quality assessment, attack vectors, manage information sources, coordinate technological activities, data models, data storage, manage information access aids, perform data mining, deliver visual presentation of data, implement ICT security policies, business processes, data protection, manage business knowledge, information categorisation, analyse the context of an organisation"
ICT integration tester,"LDAP, MDX, query languages, inter-organisational middleware system, ICT performance analysis methods, SPARQL, ICT network simulation, lean project management, software anomalies, LINQ, debug software, use an application-specific interface, ICT infrastructure, Process-based management, execute integration testing, replicate customer software issues, ICT debugging tools, report test findings, execute software tests, use scripting programming, XQuery, perform software recovery testing, tools for ICT test automation, manage schedule of tasks, resource description framework query language, integrate system components, develop automated software tests, manage system testing, address problems critically, N1QL, implement ICT security policies, ICT project management methodologies, conduct ICT code review, develop ICT test suite, levels of software testing, provide software testing documentation, Agile project management"
ICT network administrator,"maintain internet protocol configuration, ML (computer programming), mobile operating systems, Android (mobile operating systems), Erlang, provide technical training, remove computer virus or malware from a computer, install signal repeaters, Assembly (computer programming), TypeScript, BlackBerry, optimise choice of ICT solution, ASP.NET, operating systems, network standards, SAS language, network engineering, Smalltalk (computer programming), interpret technical texts, use ICT hardware, implement anti-virus software, ICT network security risks, ICT network routing, Cisco, C#, ICT system user requirements, protect personal data and privacy, Groovy, Ruby (computer programming), implement ICT security policies, Visual Basic, apply ICT system usage policies, Perl, design computer network, perform backups, apply system organisational policies, provide ICT system training, Prolog (computer programming), iOS, Scala, analyse network bandwidth requirements, security engineering, Objective-C, Haskell, cyber attack counter-measures, implement a firewall, organisational policies, Python (computer programming), MATLAB, Microsoft Visual C++, implement ICT network diagnostic tools, acquire system component, solution deployment, prepare licence agreements, digital systems, ICT system programming, ICT performance analysis methods, Scratch (computer programming), forecast future ICT network needs, computer programming, manage email hosting service, CoffeeScript, implement a virtual private network, use back-up and recovery tools, ABAP, APL, PHP, maintain ICT server, SAP R3, Common Lisp, network management system tools, integrate system components, adjust ICT system capacity, ICT security legislation, internet governance, R, implement spam protection, define firewall rules, C++, Pascal (computer programming), Apache Tomcat, manage ICT virtualisation environments, VBScript, OpenEdge Advanced Business Language, Lisp, proxy servers, Java (computer programming), execute ICT audits, automate cloud tasks, utilise computer-aided software engineering tools, AJAX, install electronic communication equipment, COBOL, procurement of ICT network equipment, quality assurance methodologies, cloud technologies, Swift (computer programming), JavaScript"
ICT network architect,"maintain internet protocol configuration, define ICT network design policies, design cloud networks, ICT network simulation, system design, design for organisational complexity, forecast future ICT network needs, define technical requirements, lean project management, build business relationships, organisational resilience, implement a virtual private network, use an application-specific interface, use back-up and recovery tools, analyse business requirements, business process modelling, Process-based management, assess ICT knowledge, design computer network, network standards, network engineering, design process, perform ICT troubleshooting, design cloud architecture, maintain information network hardware, ICT network security risks, ICT network routing, analyse network bandwidth requirements, manage staff, automate cloud tasks, monitor communication channels' performance, Cisco, implement a firewall, develop with cloud services, network management system tools, identify suppliers, protect personal data and privacy, legal requirements of ICT products, attack vectors, adjust ICT system capacity, ICT security legislation, provide cost benefit analysis reports, procurement of ICT network equipment, apply technical communication skills, develop creative ideas, ICT security standards, perform resource planning, implement ICT security policies, internet governance, implement ICT network diagnostic tools, ICT project management methodologies, implement spam protection, ICT networking hardware, design ICT hardware placement, Agile project management"
ICT network engineer,"ML (computer programming), mobile operating systems, use concurrent programming, Apache Maven, Android (mobile operating systems), Erlang, STAF, remove computer virus or malware from a computer, Assembly (computer programming), TypeScript, BlackBerry, ASP.NET, Eclipse (integrated development environment software), network standards, SAS language, network engineering, Salt (tools for software configuration management), Smalltalk (computer programming), adapt to changes in technological development plans, implement anti-virus software, information security strategy, ICT network routing, analyse software specifications, C#, Groovy, Ruby (computer programming), implement ICT security policies, use object-oriented programming, migrate existing data, Visual Basic, design cloud networks, design for organisational complexity, debug software, design computer network, Prolog (computer programming), iOS, Scala, develop automated migration methods, integrated development environment software, Objective-C, create solutions to problems, Haskell, develop with cloud services, implement a firewall, Python (computer programming), MATLAB, Microsoft Visual C++, implement ICT network diagnostic tools, create flowchart diagram, Ansible, ICT performance analysis methods, Scratch (computer programming), forecast future ICT network needs, computer programming, ICT problem management techniques, CoffeeScript, implement a virtual private network, use an application-specific interface, ABAP, use back-up and recovery tools, APL, Vagrant, PHP, Xcode, ICT debugging tools, SAP R3, Common Lisp, use software design patterns, use functional programming, network management system tools, KDevelop, tools for software configuration management, develop creative ideas, R, implement spam protection, Pascal (computer programming), C++, define technology strategy, use logic programming, Puppet (tools for software configuration management), VBScript, develop software prototype, OpenEdge Advanced Business Language, Lisp, analyse network configuration and performance, Java (computer programming), automate cloud tasks, collect customer feedback on applications, AJAX, use automatic programming, install electronic communication equipment, COBOL, Internet of Things, cloud technologies, apply information security policies, Swift (computer programming), JavaScript, Jenkins (tools for software configuration management)"
ICT network technician,"maintain internet protocol configuration, digital systems, perform ICT security testing, ICT system programming, ICT network cable limitations, implement a virtual private network, use back-up and recovery tools, install signal repeaters, ICT communications protocols, remove computer virus or malware from a computer, network standards, analyse network configuration and performance, network engineering, use precision tools, design cloud architecture, use ICT hardware, implement anti-virus software, ICT debugging tools, ICT network security risks, ICT network routing, analyse network bandwidth requirements, create solutions to problems, Cisco, electronics principles, concepts of telecommunications, implement a firewall, network management system tools, identify suppliers, adjust ICT system capacity, install electronic communication equipment, ICT security legislation, procurement of ICT network equipment, solder electronics, implement ICT security policies, implement ICT network diagnostic tools, implement spam protection, ICT networking hardware, migrate existing data, Apache Tomcat"
ICT operations manager,"define technology strategy, train employees, perform project management, digital systems, implement ICT risk management, develop information standards, innovation processes, core banking software, software components suppliers, maintain relationship with suppliers, attend to ICT systems quality, develop ICT workflow, implement a virtual private network, outsourcing strategy, manage budgets, design process, oversee quality control, software components libraries, manage staff, recruit employees, use ICT ticketing system, improve business processes, perform procurement processes, apply organisational techniques, hardware components suppliers, comply with legal regulations, systems development life-cycle, engineering processes, insourcing strategy, operations management, use different communication channels, track key performance indicators, hardware components, manage contracts, coordinate technological activities, provide cost benefit analysis reports, crowdsourcing strategy, ICT process quality models, contract law, manage changes in ICT system, implement ICT security policies"
ICT presales engineer,"define technology strategy, deliver a sales pitch, business intelligence, perform project management, keep up to date on product knowledge, implement marketing strategies, prepare scientific reports, define technical requirements, software components suppliers, SAS language, apply statistical analysis techniques, market pricing, produce sales reports, software components libraries, digital marketing techniques, statistical analysis system software, develop revenue generation strategies, ICT market, hardware components suppliers, comply with legal regulations, supervise sales activities, ICT system user requirements, develop account strategy, use different communication channels, apply conflict management, hardware components, identify customer's needs, coordinate technological activities, ICT sales methodologies, perform market research, emergent technologies, set sales goals, identify training needs, customer segmentation, product comprehension"
ICT product manager,"define technology strategy, iterative development, digital systems, cost management, ICT project management, quality standards, innovation processes, define technical requirements, Agile development, Open source model, incremental development, Spiral development, ICT infrastructure, perform online data analysis, business process modelling, assess ICT knowledge, ICT hardware specifications, Waterfall development, manage budgets, interact with users to gather requirements, service-oriented modelling, ICT software specifications, Prototyping development, monitor technology trends, ICT market, systems development life-cycle, manage schedule of tasks, Outsourcing model, perform product planning, ICT system user requirements, engineering processes, DevOps, trading software, advertising techniques, create project specifications, plan product management, conduct impact evaluation of ICT processes on business, provide cost benefit analysis reports, manage contracts, ICT quality policy, ICT sales methodologies, ICT security legislation, Rapid application development, software design methodologies, ICT process quality models, perform market research, perform risk analysis, manage localisation, product comprehension, hybrid model"
ICT project manager,"define technology strategy, train employees, perform project management, iterative development, analyse business plans, digital systems, implement ICT risk management, organise project meetings, use e-procurement, ICT project management, quality standards, develop information standards, define technical requirements, Agile development, lean project management, maintain relationship with suppliers, build business relationships, incremental development, Open source model, Spiral development, draft project documentation, outsourcing strategy, manage ICT project, Process-based management, Waterfall development, manage project information, carry out project activities, manage budgets, estimate duration of work, execute ICT audits, service-oriented modelling, manage staff, blockchain mining principles, identify legal requirements, create solutions to problems, internal risk management policy, coach employees, recruit employees, Prototyping development, apply change management, use ICT ticketing system, perform procurement processes, software architecture models, object-oriented modelling, apply organisational techniques, systems development life-cycle, Outsourcing model, DevOps, maintain a central project repository, ICT system user requirements, document management, insourcing strategy, legal requirements of ICT products, apply conflict management, create project specifications, provide cost benefit analysis reports, crowdsourcing strategy, define roadmap for blockchain in applications, Rapid application development, quality assurance methodologies, manage project changes, software design methodologies, ICT process quality models, perform risk analysis, perform resource planning, manage localisation, project configuration management, ICT project management methodologies, hybrid model, develop blockchain technology, Agile project management"
ICT quality assurance manager,"define technology strategy, define data quality criteria, quality standards, develop information standards, lean project management, software anomalies, provide technical training, attend to ICT systems quality, attend to detail in preparation for audits, Process-based management, manage data, identify customer requirements, implement strategic planning, oversee quality control, usability engineering, execute software tests, internal risk management policy, comply with legal regulations, systems development life-cycle, use different communication channels, develop automated software tests, track key performance indicators, ICT security legislation, coordinate technological activities, ICT quality policy, database quality standards, quality assurance methodologies, identify ICT system weaknesses, ICT process quality models, implement ICT security policies, perform quality audits, apply information security policies, ICT project management methodologies, application usability, set quality assurance objectives, levels of software testing, provide software testing documentation, data quality assessment, Agile project management"
ICT research consultant,"information categorisation, promote the participation of citizens in scientific and research activities, perform project management, create prototype of user experience solutions, MDX, conduct qualitative research, apply for research funding, query languages, LDAP, evaluate research activities, monitor ICT research, apply reverse engineering, develop software prototype, innovation processes, innovate in ICT, SPARQL, manage personal professional development, speak different languages, apply research ethics and scientific integrity principles in research activities, use methodologies for user-centered design, conduct quantitative research, disseminate results to the scientific community, LINQ, execute analytical mathematical calculations, demonstrate disciplinary expertise, conduct research interview, think abstractly, plan research process, optimise choice of ICT solution, manage findable accessible interoperable and reusable data, web analytics, operate open source software, consult with business clients, apply statistical analysis techniques, promote the transfer of knowledge, interact with users to gather requirements, interact professionally in research and professional environments, perform scientific research, conduct research across disciplines, provide multimedia content, manage intellectual property rights, manage open publications, manage research data, develop professional network with researchers and scientists, communicate with a non-scientific audience, XQuery, information extraction, create solutions to problems, provide written content, integrate gender dimension in research, ICT market, provide user documentation, report analysis results, increase the impact of science on policy and society, publish academic research, resource description framework query language, ICT system user requirements, conduct literature research, execute ICT user research activities, conduct scholarly research, apply blended learning, draft scientific or academic papers and technical documentation, synthesise information, mentor individuals, write scientific publications, emergent technologies, perform data mining, N1QL, teach in academic or vocational contexts, digital data processing, promote open innovation in research, scientific research methodology"
